Count,Time,Count,LocatorTime
350,2406608,350,2400076
351,2810389,351,2803802
352,2664678,352,2657691
353,6849088,353,6842496
354,3591465,354,3583670
355,2890050,355,2882699
356,4748960,356,4739822
357,3271800,357,3264279
358,4107841,358,4100175
359,3918750,359,3910059
360,3258266,360,3250057
361,4218040,361,4210359
362,3633334,362,3625225
363,3395794,363,3388160
364,3761180,364,3753503
365,4187860,365,4180264
366,4153615,366,4145374
367,4288387,367,4279968
368,4319867,368,4311537
369,4218439,369,4210230
370,3745622,370,3737804
371,4831890,371,4824200
372,3254284,372,3246522
373,4002626,373,3994710
374,3736950,374,3729299
375,4528225,375,4518601
376,3940553,376,3931456
377,3235334,377,3226474
378,3614935,378,3606456
379,4864695,379,4855544
380,4115986,380,4103993
381,2768552,381,2760012
382,3373426,382,3364822
383,3865963,383,3858273
384,3265814,384,3257587
385,3465513,385,3457677
386,3029489,386,3021355
387,3710713,387,3702716
388,3215505,388,3207657
389,3682310,389,3674682
390,3143703,390,3134182
391,3428412,391,3420200
392,3500890,392,3492220
393,3700635,393,3691751
394,4123837,394,4115046
395,4240851,395,4231854
396,4254298,396,4246581
397,3671052,397,3662313
398,3977720,398,3969782
399,4984318,399,4975799
400,3567109,400,3558443
401,3321248,401,3313250
402,3670336,402,3662349
403,4789580,403,4780343
404,3044968,404,3036784
405,3432415,405,3423990
406,3500580,406,3492557
407,4144994,407,4136635
408,3302204,408,3293103
409,3111250,409,3103248
410,3165364,410,3157863
411,5176573,411,5166908
412,3257545,412,3249345
413,4493369,413,4485061
414,4125264,414,4116627
415,3203331,415,3194742
416,3543641,416,3535454
417,3271057,417,3263212
418,3141508,418,3133310
419,3295311,419,3287259
420,3629537,420,3621215
421,3358016,421,3349706
422,3049325,422,3041724
423,3721290,423,3713615
424,3649204,424,3640985
425,5023393,425,5015147
426,4732601,426,4717586
427,3996284,427,3987414
428,3127996,428,3119576
429,3691983,429,3684051
430,5174627,430,5166373
431,7190937,431,7182592
432,3932631,432,3924071
433,2916361,433,2908319
434,3917352,434,3909460
435,4613066,435,4604646
436,3542744,436,3534532
437,2778800,437,2770627
438,3455551,438,3447695
439,3815512,439,3806704
440,3815166,440,3806822
441,3169704,441,3161538
442,3597624,442,3589546
443,3311465,443,3303252
444,4472511,444,4465394
445,3342657,445,3335093
446,4510892,446,4503434
447,3333036,447,3323734
448,3227336,448,3219456
449,4377722,449,4369731
450,3972782,450,3964603
451,4617769,451,4609018
452,4176216,452,4167486
453,4561500,453,4552654
454,3758536,454,3748718
455,4162224,455,4154132
456,3563853,456,3555247
457,3836340,457,3828630
458,3407914,458,3400236
459,3255707,459,3247191
460,3599778,460,3591180
461,3948605,461,3941454
462,4399368,462,4391808
463,4023555,463,4015230
464,3919000,464,3910632
465,5401348,465,5393663
466,3598447,466,3589121
467,4179719,467,4171068
468,4047360,468,4038471
469,4189337,469,4180803
470,7217937,470,7209932
471,3481028,471,3472757
472,3546498,472,3538206
473,3326088,473,3318279
474,3822266,474,3813081
475,3634425,475,3626189
476,3866955,476,3859192
477,3615988,477,3608440
478,2532176,478,2524658
479,3419160,479,3411608
480,4767141,480,4759685
481,3061490,481,3053457
482,2882056,482,2873621
483,2986921,483,2979046
484,3483454,484,3469748
485,4112406,485,4102938
486,3196936,486,3176760
487,4271313,487,4250687
488,3799509,488,3779442
489,3968509,489,3950686
490,4153814,490,4089200
491,4700177,491,4691429
492,4011638,492,4002670
493,4091737,493,4081504
494,3262826,494,3254140
495,3977881,495,3967946
496,3528466,496,3519532
497,3681344,497,3671989
498,4185284,498,4176736
499,3741814,499,3733731
500,8256188,500,8247924
501,4135173,501,4125862
502,4130806,502,4122282
503,4117314,503,4108955
504,3350140,504,3340816
505,5284506,505,5275935
506,5487021,506,5478538
507,3092437,507,3083760
508,4647345,508,4637325
509,5346572,509,5337577
510,6566815,510,6550825
511,3998117,511,3988621
512,4379026,512,4370782
513,5647881,513,5639462
514,2946214,514,2937596
515,3847711,515,3840010
516,5120951,516,5112265
517,3540269,517,3531053
518,5163541,518,5153763
519,3396778,519,3387837
520,4270831,520,4261947
521,4452803,521,4444469
522,4303554,522,4295040
523,3540866,523,3532135
524,3933334,524,3925293
525,4378558,525,4367111
526,3891523,526,3882797
527,3700658,527,3692255
528,4081872,528,4073380
529,4219994,529,4211909
530,3705034,530,3697111
531,3396973,531,3381158
532,4089968,532,4081657
533,3473072,533,3464385
534,4663467,534,4655485
535,4149933,535,4140808
536,4025002,536,4015841
537,4542356,537,4528313
538,4926401,538,4917485
539,3688502,539,3679802
540,3946968,540,3938632
541,4005312,541,3996980
542,3254754,542,3245853
543,5012533,543,5003808
544,4288031,544,4278841
545,3580088,545,3571192
546,4575131,546,4566818
547,4086248,547,4077632
548,5412424,548,5403558
549,3881598,549,3872508
550,4572497,550,4563894
551,3810451,551,3801552
